category,no_of_speakers,no_of_utterances,overlapping_time,prob_of_confidence_utterances,prob_of_neutral_utterances,prob_of_unconfident_utterances,total_no_of_time_difference,total_no_of_utterance_length,total_sequence_duration
action,1,1,0.0,0.0,1.0,0.0,0.0,9.319999999999936,9.319999999999936
action,1,1,0.0,0.0,1.0,0.0,0.0,4.2999999999999545,4.2999999999999545
action,1,2,0.0,0.0,1.0,0.0,1.2699999999999818,11.129999999999995,11.129999999999995
problem,2,4,0.04761904761904436,0.5,0.5,0.0,249.12,19.949999999999932,19.949999999999932
decision,1,2,0.0,0.5,0.5,0.0,205.13,11.950000000000045,11.950000000000045
decision,2,2,0.0,1.0,0.0,0.0,10.089999999999918,11.730000000000018,11.730000000000018
decision,1,1,0.0,0.0,0.0,1.0,0.0,7.7900000000000205,7.7900000000000205
action,1,2,0.0,0.0,1.0,0.0,0.0,7.850000000000023,7.850000000000023
problem,2,3,0.0,0.0,1.0,0.0,64.35000000000002,17.489999999999895,17.489999999999895
problem,2,4,0.0,0.0,0.75,0.25,23.819999999999936,24.649999999999977,24.649999999999977
problem,2,3,0.0,0.0,1.0,0.0,21.07000000000005,12.67999999999995,12.67999999999995
decision,1,1,0.0,1.0,0.0,0.0,0.0,6.009999999999991,6.009999999999991
decision,1,1,0.0,0.0,1.0,0.0,0.0,2.67999999999995,2.67999999999995
decision,1,3,0.0,0.0,1.0,0.0,19.980000000000018,18.09999999999991,18.09999999999991
action,1,6,0.031802120141342385,0.3333333333333333,0.33333333333333337,0.3333333333333333,823.3,19.810000000000088,19.810000000000088
problem,3,4,0.0,0.0,1.0,0.0,42.5,22.230000000000018,22.230000000000018
decision,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
action,1,1,0.0,0.0,1.0,0.0,0.0,4.560000000000002,4.560000000000002
action,2,2,0.0,0.0,1.0,0.0,-0.39999999999997726,6.589999999999975,6.589999999999975
action,1,1,0.0,0.0,1.0,0.0,0.0,15.879999999999995,15.879999999999995
problem,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
decision,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
action,1,1,0.0,0.0,0.0,1.0,0.0,7.130000000000109,7.130000000000109
action,1,1,0.0,0.0,0.0,1.0,0.0,3.2799999999999727,3.2799999999999727
action,1,1,0.0,0.0,0.0,1.0,0.0,3.2100000000000364,3.2100000000000364
problem,4,30,0.01802588739776076,0.13333333333333333,0.0,0.8666666666666667,1467.0600000000004,125.9299999999995,125.9299999999995
problem,3,11,0.07573574809631738,0.09090909090909091,0.0,0.9090909090909091,643.02,48.59000000000003,48.59000000000003
problem,3,13,0.0,0.07692307692307693,0.0,0.9230769230769231,141.84000000000037,54.44999999999959,54.44999999999959
problem,4,22,0.01592130615556401,0.4090909090909091,0.0,0.5909090909090909,328.7400000000001,98.60999999999979,98.60999999999979
problem,2,5,0.007922535211267089,0.0,0.0,1.0,1506.37,34.07999999999993,34.07999999999993
decision,1,2,0.0,0.5,0.0,0.5,2.1899999999999977,15.010000000000005,15.010000000000005
decision,1,2,0.0,0.0,0.0,1.0,10.990000000000009,12.47999999999999,12.47999999999999
decision,1,1,0.0,0.0,0.0,1.0,0.0,5.0800000000000125,5.0800000000000125
decision,2,6,0.0,0.16666666666666666,0.0,0.8333333333333334,1383.45,25.730000000000018,25.730000000000018
decision,2,3,0.0,0.3333333333333333,0.0,0.6666666666666666,1203.1599999999999,16.399999999999977,16.399999999999977
decision,2,3,0.0,0.3333333333333333,0.0,0.6666666666666666,584.3700000000001,12.299999999999955,12.299999999999955
decision,1,2,0.0,0.0,0.0,1.0,0.0,4.089999999999918,4.089999999999918
decision,2,2,0.0,0.0,0.0,1.0,-2.410000000000082,7.440000000000055,7.440000000000055
action,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
problem,2,28,0.13938274455476246,0.25,0.0,0.75,653.5600000000002,129.92999999999967,129.92999999999967
problem,3,7,0.0,0.0,0.0,1.0,43.2199999999998,30.160000000000082,30.160000000000082
problem,3,8,0.0,0.125,0.0,0.875,574.5600000000002,48.29999999999973,48.29999999999973
problem,2,4,0.19430284857571323,0.0,0.0,1.0,365.85000000000014,33.34999999999991,33.34999999999991
problem,2,6,0.0,0.3333333333333333,0.0,0.6666666666666666,49.049999999999955,30.13000000000011,30.13000000000011
problem,4,13,0.0,0.3076923076923077,0.0,0.6923076923076923,225.0799999999997,47.600000000000136,47.600000000000136
decision,1,1,0.0,0.0,0.0,1.0,0.0,4.739999999999995,4.739999999999995
decision,1,1,0.0,0.0,0.0,1.0,0.0,9.16000000000001,9.16000000000001
decision,1,2,0.0,0.0,0.0,1.0,0.0,10.079999999999998,10.079999999999998
decision,1,1,0.0,1.0,0.0,0.0,0.0,6.919999999999845,6.919999999999845
decision,1,1,0.0,1.0,0.0,0.0,0.0,6.919999999999845,6.919999999999845
decision,1,1,0.0,1.0,0.0,0.0,0.0,6.919999999999845,6.919999999999845
decision,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
decision,1,1,0.0,0.0,0.0,1.0,0.0,3.6800000000000637,3.6800000000000637
decision,2,2,0.0,0.0,0.0,1.0,0.6099999999999,6.660000000000309,6.660000000000309
action,2,2,0.0,0.5,0.0,0.5,10.710000000000036,8.509999999999764,8.509999999999764
problem,2,4,0.0,0.5,0.0,0.5,25.079999999999927,31.570000000000164,31.570000000000164
decision,2,2,0.0,0.0,0.0,1.0,9.0,7.9500000000000455,7.9500000000000455
decision,1,2,0.0,0.0,0.0,1.0,0.0,7.8900000000001,7.8900000000001
decision,3,4,0.0,0.25,0.0,0.75,539.3500000000001,19.569999999999936,19.569999999999936
decision,3,7,0.0,1.0,0.0,0.0,371.1599999999996,25.870000000000346,25.870000000000346
action,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
problem,4,9,0.0,0.4444444444444444,0.0,0.5555555555555556,774.0599999999998,24.29000000000019,24.29000000000019
decision,1,3,0.0,1.0,0.0,0.0,69.58999999999992,12.900000000000091,12.900000000000091
decision,1,2,0.0,0.5,0.0,0.5,603.31,7.720000000000255,7.720000000000255
decision,3,4,0.0,0.75,0.0,0.25,172.20000000000005,15.019999999999982,15.019999999999982
action,1,2,0.0,1.0,0.0,0.0,3.399999999999636,4.680000000000291,4.680000000000291
problem,2,4,0.0,0.25,0.0,0.75,576.19,20.769999999999982,20.769999999999982
problem,3,8,0.0,0.75,0.0,0.25,662.9200000000001,46.269999999999754,46.269999999999754
problem,1,2,0.0,0.5,0.0,0.5,1.349999999999909,7.6400000000001,7.6400000000001
problem,2,2,0.0,0.0,0.0,1.0,11.809999999999945,9.240000000000009,9.240000000000009
problem,3,7,0.0,0.2857142857142857,0.0,0.7142857142857143,12.410000000000082,31.1099999999999,31.1099999999999
problem,3,6,0.0,0.8333333333333334,0.0,0.16666666666666666,145.2300000000007,29.069999999999027,29.069999999999027
problem,2,11,0.0,0.45454545454545453,0.0,0.5454545454545454,459.680000000001,36.91999999999916,36.91999999999916
decision,2,2,0.0,0.5,0.0,0.5,11.899999999999864,8.63000000000011,8.63000000000011
decision,1,2,0.0,0.5,0.0,0.5,1.349999999999909,7.6400000000001,7.6400000000001
decision,1,1,0.0,1.0,0.0,0.0,0.0,2.0,2.0
decision,1,2,0.0,0.5,0.0,0.5,1.1600000000003092,3.149999999999636,3.149999999999636
decision,1,1,0.0,1.0,0.0,0.0,0.0,5.639999999999873,5.639999999999873
decision,1,1,0.0,1.0,0.0,0.0,0.0,1.1599999999998545,1.1599999999998545
decision,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
decision,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
decision,1,1,0.0,1.0,0.0,0.0,0.0,1.599999999999909,1.599999999999909
action,1,3,0.0,0.3333333333333333,0.0,0.6666666666666666,326.25,15.779999999999973,15.779999999999973
action,2,2,0.0,0.5,0.0,0.5,213.20000000000005,7.8400000000001455,7.8400000000001455
problem,3,16,0.0,0.5625,0.0,0.4375,953.6199999999997,85.0600000000004,85.0600000000004
problem,2,3,0.0,1.0,0.0,0.0,2.9900000000002365,15.609999999999673,15.609999999999673
decision,1,1,0.0,0.0,0.0,1.0,0.0,2.5499999999999545,2.5499999999999545
decision,1,1,0.0,1.0,0.0,0.0,0.0,2.75,2.75
decision,1,1,0.0,0.0,0.0,1.0,0.0,5.5900000000001455,5.5900000000001455
decision,2,2,0.0,0.5,0.0,0.5,0.20000000000004547,8.61999999999989,8.61999999999989
problem,1,2,0.0,1.0,0.0,0.0,29.310000000000002,10.5,10.5
problem,2,3,0.05607917059377663,1.0,0.0,0.0,337.3,21.220000000000013,21.220000000000013
decision,4,9,0.001168497312449812,0.2222222222222222,0.0,0.7777777777777778,355.2000000000003,42.789999999999736,42.789999999999736
action,1,1,0.0,1.0,0.0,0.0,0.0,7.970000000000027,7.970000000000027
problem,3,17,0.10518109858479677,0.47058823529411764,0.0,0.5294117647058824,547.9600000000007,83.37999999999943,83.37999999999943
decision,3,4,0.0,0.75,0.0,0.25,605.1899999999998,15.820000000000164,15.820000000000164
decision,2,2,0.0,0.5,0.0,0.5,0.07999999999992724,8.670000000000073,8.670000000000073
decision,2,5,0.0,0.8,0.0,0.2,21.840000000000373,30.289999999999736,30.289999999999736
decision,2,2,0.0,0.5,0.0,0.5,671.6999999999999,4.350000000000136,4.350000000000136
decision,2,3,0.0,0.6666666666666666,0.0,0.3333333333333333,12.070000000000164,15.289999999999736,15.289999999999736
action,0,0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0
problem,1,3,0.0,0.3333333333333333,0.0,0.6666666666666666,0.4699999999999136,9.050000000000068,9.050000000000068
decision,2,4,0.0,0.0,0.0,1.0,5.120000000000061,4.42999999999995,4.42999999999995
decision,1,1,0.0,0.0,0.0,1.0,0.0,5.509999999999991,5.509999999999991
decision,1,1,0.0,0.0,0.0,1.0,0.0,1.67999999999995,1.67999999999995
decision,1,1,0.0,0.0,0.0,1.0,0.0,1.2099999999999795,1.2099999999999795
decision,1,1,0.0,0.0,0.0,1.0,0.0,5.509999999999991,5.509999999999991
decision,1,1,0.0,0.0,0.0,1.0,0.0,3.769999999999982,3.769999999999982
decision,1,1,0.0,0.0,0.0,1.0,0.0,3.259999999999991,3.259999999999991
decision,2,2,0.0,0.0,0.0,1.0,0.04000000000007731,1.0699999999999363,1.0699999999999363
action,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
problem,4,23,0.02380483966161796,0.391304347826087,0.0,0.6086956521739131,390.22000000000037,101.65999999999963,101.65999999999963
problem,2,8,0.0,0.625,0.0,0.375,406.19000000000017,32.279999999999745,32.279999999999745
problem,3,6,0.0,0.3333333333333333,0.0,0.6666666666666666,490.8900000000001,32.799999999999955,32.799999999999955
decision,1,2,0.0,1.0,0.0,0.0,356.95000000000005,5.029999999999859,5.029999999999859
decision,3,4,0.0,0.5,0.0,0.5,953.9499999999998,24.310000000000144,24.310000000000144
decision,2,2,0.0,0.0,0.0,1.0,353.4699999999998,4.440000000000055,4.440000000000055
decision,2,3,0.0,0.6666666666666666,0.0,0.3333333333333333,604.5,15.900000000000034,15.900000000000034
action,2,2,0.0,0.0,0.0,1.0,542.19,13.699999999999818,13.699999999999818
action,2,2,0.0,0.5,0.0,0.5,0.05999999999994543,7.440000000000055,7.440000000000055
problem,1,3,0.0,0.3333333333333333,0.0,0.6666666666666666,927.5799999999999,8.259999999999764,8.259999999999764
problem,1,3,0.0,0.3333333333333333,0.0,0.6666666666666666,927.5799999999999,8.259999999999764,8.259999999999764
decision,2,8,0.0,0.375,0.0,0.625,670.7099999999999,34.71000000000009,34.71000000000009
decision,3,8,0.0,0.375,0.0,0.625,41.68000000000029,39.11999999999989,39.11999999999989
decision,1,4,0.0,0.5,0.0,0.5,3.9799999999999898,26.80000000000001,26.80000000000001
decision,2,2,0.0,0.5,0.0,0.5,141.69,9.840000000000003,9.840000000000003
decision,1,1,0.0,0.0,0.0,1.0,0.0,17.21999999999997,17.21999999999997
decision,2,4,0.0,0.5,0.0,0.5,0.5399999999999636,15.490000000000123,15.490000000000123
problem,0,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
problem,3,5,0.0,0.2,0.0,0.8,222.55999999999995,20.410000000000082,20.410000000000082
decision,1,4,0.0,0.0,0.0,1.0,9.210000000000008,15.370000000000005,15.370000000000005
decision,2,2,0.0,0.0,0.0,1.0,0.4399999999999977,8.879999999999995,8.879999999999995
decision,1,2,0.0,0.0,0.0,1.0,8.380000000000024,10.049999999999955,10.049999999999955
decision,1,1,0.0,0.0,0.0,1.0,0.0,4.670000000000016,4.670000000000016
decision,1,2,0.0,0.0,0.0,1.0,0.0,6.110000000000014,6.110000000000014
decision,2,2,0.0,0.0,0.0,1.0,12.080000000000155,5.439999999999827,5.439999999999827
